Date,Close/Last,Volume,Open,High,Low
31/08/2018,141.78,3436359,$141.0434,$142.0694,$140.8693
30/08/2018,141.25,3338329,$142.3114,$142.5727,$140.5885
29/08/2018,142.81,2699766,$142.1565,$143.1825,$141.8952
28/08/2018,141.89,2449441,$142.2339,$142.2726,$141.4983
27/08/2018,141.98,3026798,$142.2242,$142.8824,$141.8177
24/08/2018,141.35,2727395,$140.7917,$141.3985,$140.2207
23/08/2018,140.70,2220427,$140.3852,$140.8498,$140.1045
22/08/2018,140.58,2246709,$141.3241,$141.4693,$140.5304
21/08/2018,141.29,2813028,$142.2823,$142.3985,$141.2079
20/08/2018,141.81,2499398,$141.6725,$142.4372,$141.4596
17/08/2018,141.37,2678645,$140.1432,$141.6919,$140.0464
16/08/2018,140.68,5250704,$139.7367,$141.0047,$139.7367
15/08/2018,139.29,4240961,$137.9751,$139.3786,$137.4428
14/08/2018,138.76,2860006,$138.4107,$139.2044,$138.3429
13/08/2018,138.13,2858415,$139.5238,$139.669,$137.9558
10/08/2018,139.84,3001883,$139.8625,$140.4143,$139.2624
09/08/2018,140.12,3093453,$140.8595,$141.2563,$140.0852
08/08/2018,142.18,3580415,$142.6017,$142.6985,$141.5467
07/08/2018,142.29,3505622,$141.9435,$142.9018,$141.6532
06/08/2018,141.34,3912466,$142.2339,$142.4759,$140.8982
03/08/2018,142.96,8053092,$138.643,$143.1728,$138.4107
02/08/2018,138.37,3836238,$138.2752,$138.7591,$137.7622
01/08/2018,138.89,3387120,$140.1142,$140.5304,$138.7398
31/07/2018,140.28,5473146,$141.0628,$141.1208,$139.5325
30/07/2018,140.82,3450004,$140.1529,$141.5467,$140.0464
27/07/2018,140.49,3749286,$142.1758,$142.4178,$140.0174
26/07/2018,142.00,4776629,$142.6985,$144.4795,$141.9242
25/07/2018,141.91,3628272,$141.3241,$141.9435,$140.8305
24/07/2018,141.68,3891462,$141.9919,$142.321,$141.237
23/07/2018,141.02,3767643,$141.6532,$141.9919,$140.361
20/07/2018,141.65,6411644,$143.8116,$144.0826,$141.5661
19/07/2018,144.45,14536290,$143.105,$145.7087,$142.5243
18/07/2018,139.88,6651091,$138.9043,$140.1529,$138.1543
17/07/2018,138.89,5087700,$140.1045,$140.3465,$138.7398
16/07/2018,140.79,3463840,$140.995,$141.1111,$139.5819
13/07/2018,141.22,3062531,$141.75,$142.2629,$141.1208
12/07/2018,141.75,3096255,$141.1692,$142.1178,$141.0628
11/07/2018,140.29,3466858,$139.3786,$141.4983,$139.3786
10/07/2018,140.07,3721923,$139.8722,$140.9176,$139.6254
09/07/2018,139.76,3840834,$138.0138,$140.0755,$137.8977
06/07/2018,137.91,2910426,$136.9879,$138.3526,$136.6394
05/07/2018,136.89,3684736,$135.9716,$136.8911,$135.4392
03/07/2018,135.09,1963232,$136.1361,$136.4168,$134.8951
02/07/2018,135.37,3404522,$133.8422,$135.7199,$133.7647
29/06/2018,135.22,3709514,$135.8167,$136.8224,$135.1295
28/06/2018,135.55,4523146,$133.6679,$136.0296,$133.5179
27/06/2018,133.07,4097173,$134.6455,$135.294,$133.0388
26/06/2018,134.62,4132936,$134.8875,$135.3617,$133.8906
25/06/2018,134.34,8936500,$135.8941,$135.8941,$133.8422
22/06/2018,136.75,5978837,$137.0943,$137.2589,$136.2619
21/06/2018,136.72,3719842,$138.0138,$138.5462,$136.3103
20/06/2018,138.05,3327016,$139.5915,$139.8819,$137.8396
19/06/2018,139.28,3480989,$138.5268,$139.5915,$138.3623
18/06/2018,139.84,3955267,$139.5528,$139.8819,$138.5462
15/06/2018,140.72,9101344,$140.2497,$140.8014,$139.0882
14/06/2018,140.54,3278242,$141.9435,$142.263,$140.4336
13/06/2018,141.65,2636788,$142.0791,$142.7372,$141.508
12/06/2018,142.16,2640091,$142.3791,$142.7856,$141.9145
11/06/2018,141.88,3187860,$141.9145,$142.6792,$141.4499
08/06/2018,141.45,5059360,$140.3465,$141.7306,$139.7367
07/06/2018,140.69,4263362,$140.3465,$141.9919,$140.2787
06/06/2018,140.07,3220131,$139.7077,$140.0755,$138.9334
05/06/2018,139.09,2824323,$138.4591,$139.456,$138.4494
04/06/2018,138.45,3032513,$137.7332,$138.5752,$137.617
01/06/2018,137.39,3854463,$137.859,$138.2558,$137.075
31/05/2018,136.77,6828045,$138.2268,$138.2268,$136.5233
30/05/2018,138.04,5109028,$137.346,$138.5075,$137.2686
29/05/2018,136.69,4533961,$137.9558,$138.3042,$135.7102
25/05/2018,139.03,4914174,$139.2818,$139.9303,$138.8559
24/05/2018,139.45,3398444,$139.7561,$139.8432,$138.3623
23/05/2018,140.03,3456319,$139.7174,$140.0561,$138.8753
22/05/2018,140.43,2284010,$140.8498,$141.5119,$140.3465
21/05/2018,140.82,2892683,$140.2981,$141.3531,$140.0368
18/05/2018,139.46,2677403,$139.8335,$140.2884,$139.3689
17/05/2018,139.86,3147105,$139.8625,$140.5304,$139.156
16/05/2018,139.99,3168454,$139.0882,$140.3731,$138.672
15/05/2018,139.13,4088765,$138.8946,$139.3689,$138.3333
14/05/2018,139.67,3214837,$139.8335,$140.4626,$139.5141
11/05/2018,139.51,3073144,$139.4851,$140.2013,$138.9721
10/05/2018,139.61,3726223,$138.5559,$139.698,$138.4204
09/05/2018,138.03,4190305,$137.346,$138.43,$136.7459
08/05/2018,138.41,5365087,$138.4107,$138.9014,$137.5009
07/05/2018,138.62,3659906,$139.3786,$139.6883,$138.0625
04/05/2018,139.29,4400297,$136.5717,$139.7174,$135.778
03/05/2018,137.43,5016580,$137.5686,$137.6654,$135.4102
02/05/2018,137.88,5193157,$139.8238,$140.1723,$137.5105
01/05/2018,140.35,4430144,$140.0077,$140.3659,$138.8656
30/04/2018,140.31,4410906,$142.1468,$142.6501,$140.3078
27/04/2018,141.78,3200337,$142.1274,$142.5243,$140.9853
